zeta: 0.00, death_threshold: 0.75, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.76, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.77, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.78, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.79, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.80, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.81, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.82, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.83, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.84, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.85, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.86, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.87, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.88, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.89, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.90, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
